quarter,date,report_filing_date,earnings_filing_date
FY2015 Q4,2015-03-31,2015-05-21,2015-05-21
FY2016 Q1,2015-06-30,2015-07-29,2015-07-29
FY2016 Q2,2015-09-30,2015-10-28,2015-10-28
FY2016 Q3,2015-12-31,2016-01-27,2016-01-27
FY2016 Q4,2016-03-31,2016-05-19,2016-05-18
FY2017 Q1,2016-06-30,2016-07-27,2016-07-27
FY2017 Q2,2016-09-30,2016-11-02,2016-11-02
FY2017 Q3,2016-12-31,2017-01-30,2017-01-30
FY2017 Q4,2017-03-31,2017-05-22,2017-05-22
FY2018 Q1,2017-06-30,2017-08-07,2017-08-07
FY2018 Q2,2017-09-30,2017-11-06,2017-11-06
FY2018 Q3,2017-12-31,2018-02-05,2018-02-05
FY2018 Q4,2018-03-31,2018-05-29,2018-05-29
FY2019 Q1,2018-06-30,2018-07-30,2018-07-30
FY2019 Q2,2018-09-30,2018-10-29,2018-10-29
FY2019 Q3,2018-12-31,2019-02-01,2019-02-01
FY2019 Q4,2019-03-31,2019-05-28,2019-05-28
FY2020 Q1,2019-06-30,2019-07-29,2019-07-29
FY2020 Q2,2019-09-30,2019-11-01,2019-11-01
FY2020 Q3,2019-12-31,2020-01-31,2020-01-31
FY2020 Q4,2020-03-31,2020-05-26,2020-05-26
FY2021 Q1,2020-06-30,2020-07-31,2020-07-31
FY2021 Q2,2020-09-30,2020-10-30,2020-10-30
FY2021 Q3,2020-12-31,2021-01-29,2021-01-29
FY2021 Q4,2021-03-31,2021-05-21,2021-05-21
FY2022 Q1,2021-06-30,2021-07-30,2021-07-30
FY2022 Q2,2021-09-30,2021-10-29,2021-10-29
FY2022 Q3,2021-12-31,2022-01-28,2022-01-28
FY2022 Q4,2022-03-31,2022-05-20,2022-05-20
FY2023 Q1,2022-06-30,2022-07-29,2022-07-29
FY2023 Q2,2022-09-30,2022-10-28,2022-10-28
FY2023 Q3,2022-12-31,2023-01-27,2023-01-27
FY2023 Q4,2023-03-31,2023-05-26,2023-05-26
FY2024 Q1,2023-06-30,2023-07-28,2023-07-28
FY2024 Q2,2023-09-30,2023-10-27,2023-10-27
FY2024 Q3,2023-12-31,2024-01-26,2024-01-26
FY2024 Q4,2024-03-31,2024-05-24,2024-05-24
FY2025 Q1,2024-06-30,2024-07-26,2024-07-26
FY2025 Q2,2024-09-30,2024-10-25,2024-10-25
FY2025 Q3,2024-12-31,2025-01-31,2025-01-31
FY2025 Q4,2025-03-31,2025-05-23,2025-05-23
FY2026 Q1,2025-06-30,2025-07-25,2025-07-25
FY2026 Q2,2025-09-30,2025-10-24,2025-10-24
FY2026 Q3,2025-12-31,2026-01-23,2026-01-23
